Name,Address,Latitude,Longitude,rating,user_ratings_total,phone,website,price_level,Place ID
Walmart,"Av. Insurgentes Nte. 131, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, Mexico",19.443986,-99.1531529,4.2,,,,,ChIJxcJ9j9D40YURbZF1Iup_gOA
Walmart,"Calz de Guadalupe 431, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad de México, CDMX, Mexico",19.4720291,-99.1207007,4.2,,,,,ChIJ7WbaRYIBzoURVk8XlOjLO8Y
Liverpool Centro Histórico,"C. de Venustiano Carranza 92, Colonia Centro, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",19.4310148,-99.13344839999999,4.4,,,,,ChIJL4SlAc3-0YURjJmxLM6XHLo
Walmart Supercenter,"Calz. Ignacio Zaragoza 58, Industrial Puerto Aéreo, Venustiano Carranza, 15710 Ciudad de México, CDMX, Mexico",19.4195267,-99.0938122,4.1,,,,,ChIJAS7V267-0YURN-FO0qblu9Y
Pabellón Cuauhtémoc,"C. Antonio M. Anza 20, Centro Urbano Pdte. Juárez, Roma Sur, Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.411284,-99.1558475,4.2,,,,,ChIJJ4s8gsr_0YUR9h7V6FNd_YY
Liverpool,"Av. Cuauhtémoc 462, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.403409399999997,-99.1549139,4.5,,,,,ChIJizRu1Ob_0YUREQUof1zCiOc
Walmart,"Fray Servando Teresa de Mier 881, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, Mexico",19.4175589,-99.10568959999999,4.1,,,,,ChIJNd2MJaf-0YURT96J1oOa5tM
El Palacio de Hierro Centro,"20 de Noviembre 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4312228,-99.1338981,4.5,,,,,ChIJxxUqY83-0YURfeUrLAsulCo
Walmart,"Lorenzo Boturini 258, Tránsito, Cuauhtémoc, 06820 Ciudad de México, CDMX, Mexico",19.4194449,-99.13026939999999,4.3,,,,,ChIJs2YFOcT-0YURb0aL86jgKu0
"Sanborns Madero | Restaurante, Tienda y Farmacia","Av Francisco I. Madero 4, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06500 Ejido del Centro, CDMX, Mexico",19.4341013,-99.1401775,4.4,,,,,ChIJU5d1n7gO0oURpi6tiQPNpxw
Sears,"Plaza Insurgentes, San Luis Potosí 214, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4121781,-99.16606739999999,4.3,,,,,ChIJ41TTQZX_0YUR_y7TTo3aYgM
Sears,"Av. Juarez 14, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, Mexico",19.4340323,-99.1415724,4.3,,,,,ChIJUe0iPyv50YUR7ud0AFNdGTY
Sanborns,"Av. P.º de la Reforma 03, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.428164499999998,-99.1611849,4.3,,,,,ChIJ257tljP_0YURfeJmkbdRPq0
Woolworth,"Av. de los Insurgentes Sur 376, Roma Sur, Cuauhtémoc, 06760 Cuauthemoc, CDMX, Mexico",19.410267299999997,-99.16675099999999,4.3,,,,,ChIJHT_f8j__0YURQRqQGsh_ayE
Suburbia,"20 de Noviembre 62, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",19.4296676,-99.1335173,4.1,,,,,ChIJd8fPT7gczoURyRWbUxbGbck
El Nuevo Mundo,"C. de Venustiano Carranza 72, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4312348,-99.1348563,4.4,,,,,ChIJ75fOmtL-0YURW7kpUuzMHcI
Sanborns Aeropuerto,"Blvd. Puerto Aéreo 123, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, Mexico",19.4242124,-99.0945809,4.2,,,,,ChIJY9Rc0x380YUR_ECoHHuETkQ
Sanborns,"Av. Insurgentes Sur 421, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",19.4077828,-99.1684069,4.1,,,,,ChIJX3JNqWr_0YURr1hLBUs2pFI
Sanborns Villa de Cortés,"Calz. de Tlalpan 744, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, Mexico",19.3919882,-99.1379518,4.2,,,,,ChIJqSQe2vv-0YURSrk4Y9Q3F7g
Suburbia,"Av. Insurgentes Nte. 151, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico",19.445143899999998,-99.1527057,4.2,,,,,ChIJp3fITNL40YURw_0sIfcc02I
